config_id,run_name,run_id,phase,domain,domain_code,pooling,normalization,convolution,activation,stream_interaction,stream_level,interaction_level,test_auc,test_ap,test_average_precision,auc_above_real,ap_above_real,quadrant_relative_to_real
cx_img_med_rms_std_single_holo_modrelu,cx_img_med_rms_std_single_holo_modrelu,phase1_1184439_86,phase1,Image,0,median,rms,standard,modrelu,complex_only / holographic,complex_only,holographic,0.6487658797303467,0.12720691338475526,0.12720691338475526,False,True,ap_only
cx_img_med_rms_std_single_holo_magsilu,cx_img_med_rms_std_single_holo_magsilu,phase1_1184439_87,phase1,Image,0,median,rms,standard,magnitude_silu,complex_only / holographic,complex_only,holographic,0.6702656245803453,0.08190709500306982,0.08190709500306982,False,False,neither
cx_img_med_rms_std_single_holo_crelu,cx_img_med_rms_std_single_holo_crelu,phase1_1184439_88,phase1,Image,0,median,rms,standard,crelu,complex_only / holographic,complex_only,holographic,0.6870652378266592,0.09470397817517774,0.09470397817517774,False,False,neither
cx_img_med_rms_std_single_holo_card,cx_img_med_rms_std_single_holo_card,phase1_1184439_89,phase1,Image,0,median,rms,standard,cardioid,complex_only / holographic,complex_only,holographic,0.77699889882631,0.1396668691293343,0.1396668691293343,True,True,both_above
cx_img_med_rms_std_dual_none_modrelu,cx_img_med_rms_std_dual_none_modrelu,phase1_1184439_90,phase1,Image,0,median,rms,standard,modrelu,dual / none,dual,none,0.713976848494615,0.09432107618895469,0.09432107618895469,False,False,neither
cx_img_med_rms_std_dual_none_magsilu,cx_img_med_rms_std_dual_none_magsilu,phase1_1184439_91,phase1,Image,0,median,rms,standard,magnitude_silu,dual / none,dual,none,0.771895898799452,0.17699239246285264,0.17699239246285264,True,True,both_above
cx_img_med_rms_std_dual_none_crelu,cx_img_med_rms_std_dual_none_crelu,phase1_1184439_92,phase1,Image,0,median,rms,standard,crelu,dual / none,dual,none,0.772285338275186,0.18099064003927706,0.18099064003927706,True,True,both_above
cx_img_med_rms_std_dual_none_card,cx_img_med_rms_std_dual_none_card,phase1_1184439_93,phase1,Image,0,median,rms,standard,cardioid,dual / none,dual,none,0.7493755539440818,0.1623276203837821,0.1623276203837821,True,True,both_above
cx_img_med_rms_std_dual_gate_modrelu,cx_img_med_rms_std_dual_gate_modrelu,phase1_1184439_94,phase1,Image,0,median,rms,standard,modrelu,dual / modulus_gate,dual,modulus_gate,0.6330540112266,0.07626629061663018,0.07626629061663018,False,False,neither
cx_img_med_rms_std_dual_gate_magsilu,cx_img_med_rms_std_dual_gate_magsilu,phase1_1184439_95,phase1,Image,0,median,rms,standard,magnitude_silu,dual / modulus_gate,dual,modulus_gate,0.7133322590175382,0.08564841422882576,0.08564841422882576,False,False,neither
cx_img_med_rms_std_dual_gate_crelu,cx_img_med_rms_std_dual_gate_crelu,phase1_1184439_96,phase1,Image,0,median,rms,standard,crelu,dual / modulus_gate,dual,modulus_gate,0.6584750087288158,0.10388126481138239,0.10388126481138239,False,False,neither
cx_img_med_rms_std_dual_gate_card,cx_img_med_rms_std_dual_gate_card,phase1_1184439_97,phase1,Image,0,median,rms,standard,cardioid,dual / modulus_gate,dual,modulus_gate,0.7006419036875889,0.13752426798205383,0.13752426798205383,False,True,ap_only
cx_img_med_rms_std_dual_holo_modrelu,cx_img_med_rms_std_dual_holo_modrelu,phase1_1184439_98,phase1,Image,0,median,rms,standard,modrelu,dual / holographic,dual,holographic,0.6663846587704455,0.08670542768121693,0.08670542768121693,False,False,neither
cx_img_med_rms_std_dual_holo_magsilu,cx_img_med_rms_std_dual_holo_magsilu,phase1_1184439_99,phase1,Image,0,median,rms,standard,magnitude_silu,dual / holographic,dual,holographic,0.7554857250288722,0.1756296462568967,0.1756296462568967,True,True,both_above
cx_img_med_rms_std_dual_holo_crelu,cx_img_med_rms_std_dual_holo_crelu,phase1_1184439_100,phase1,Image,0,median,rms,standard,crelu,dual / holographic,dual,holographic,0.771493030376279,0.1436710933322818,0.1436710933322818,True,True,both_above
cx_img_med_rms_std_dual_holo_card,cx_img_med_rms_std_dual_holo_card,phase1_1184439_101,phase1,Image,0,median,rms,standard,cardioid,dual / holographic,dual,holographic,0.7867080278247791,0.16066163483970156,0.16066163483970156,True,True,both_above
cx_img_med_rms_wl_single_none_modrelu,cx_img_med_rms_wl_single_none_modrelu,phase1_1184439_102,phase1,Image,0,median,rms,widely_linear,modrelu,complex_only / none,complex_only,none,0.624432626970698,0.10303220684822484,0.10303220684822484,False,False,neither
cx_img_med_rms_wl_single_none_magsilu,cx_img_med_rms_wl_single_none_magsilu,phase1_1184439_103,phase1,Image,0,median,rms,widely_linear,magnitude_silu,complex_only / none,complex_only,none,0.5751886767115193,0.06565804046177105,0.06565804046177105,False,False,neither
cx_img_med_rms_wl_single_none_crelu,cx_img_med_rms_wl_single_none_crelu,phase1_1184439_104,phase1,Image,0,median,rms,widely_linear,crelu,complex_only / none,complex_only,none,0.7221550774850267,0.14080687498060074,0.14080687498060074,False,True,ap_only
cx_img_med_rms_wl_single_none_card,cx_img_med_rms_wl_single_none_card,phase1_1184439_105,phase1,Image,0,median,rms,widely_linear,cardioid,complex_only / none,complex_only,none,0.6784707114656354,0.10424731333704172,0.10424731333704172,False,False,neither
cx_img_med_rms_wl_single_holo_modrelu,cx_img_med_rms_wl_single_holo_modrelu,phase1_1184439_106,phase1,Image,0,median,rms,widely_linear,modrelu,complex_only / holographic,complex_only,holographic,0.7192678537856203,0.10423115897192636,0.10423115897192636,False,False,neither
